unique_values,counts
318,610
296,516
356,476
593,426
2959,370
2571,370
260,345
110,244
1196,217
1265,190
39,177
79132,160
50,153
7361,127
1,118
253,116
150,116
457,116
1136,115
454,109
589,103
733,102
7153,99
1200,94
4993,94
592,92
339,87
116797,85
2329,71
5952,57
293,49
58559,41
1197,20
34,12
480,6
1221,5
858,4
48516,3
60069,3
1198,2
