unique_values,counts
318,610
296,515
356,476
593,423
2571,369
260,337
2959,236
1196,215
39,196
1265,194
1136,178
79132,170
1200,164
110,151
7361,129
50,129
253,124
457,115
150,115
733,114
454,111
1,108
293,105
7153,95
589,95
4993,93
339,92
592,92
116797,88
2329,85
5952,56
48516,40
1197,20
34,12
60069,11
1704,11
58559,10
480,6
1221,5
6377,3
2716,2
