unique_values,counts
318,610
296,518
356,477
110,459
260,441
593,437
2959,416
2571,376
1196,219
1198,198
50,186
150,168
1,160
589,128
457,124
79132,120
39,113
7153,112
253,108
454,104
4993,100
592,93
7361,89
339,85
5952,63
116797,59
58559,51
858,38
2858,21
480,20
364,7
