unique_values,counts
318,610
296,517
356,477
593,435
2959,377
2571,372
260,352
110,270
1196,218
1198,175
39,170
50,161
79132,160
1,127
457,119
150,117
589,115
7361,115
253,115
1136,108
7153,106
454,105
4993,94
592,92
733,91
1200,89
339,85
116797,70
5952,60
2329,49
293,46
58559,45
480,19
858,17
34,8
1197,8
1265,2
2858,2
1221,2
