unique_values,counts
318,610
296,509
356,475
593,418
2571,366
260,311
1200,207
1196,205
39,201
1265,199
1136,196
79132,175
2959,175
7361,129
253,128
50,125
733,122
150,115
457,115
110,114
293,113
454,111
1,101
339,100
7153,93
116797,91
592,90
4993,87
2329,86
589,80
48516,78
5952,51
10,24
60069,23
1197,20
34,17
1704,15
597,9
1221,5
1291,4
6377,4
2716,2
480,1
