before,after,ratio_bf,ratio_real
10,5,0.5,0.16022099
10,5,0.5,0.43902439
10,5,0.5,0.20967742
10,5,0.5,0.2295082
6,5,0.16666666666666666,0.32653061
6,5,0.16666666666666666,0.12634409
10,4,0.6,0.0721393
6,4,0.3333333333333333,0.1130137
10,5,0.5,0.14851485
7,5,0.2857142857142857,0.27906977
7,5,0.2857142857142857,0.17857143
10,5,0.5,0.18269231
10,5,0.5,0.1875
6,5,0.16666666666666666,0.25
7,5,0.2857142857142857,0.13888889
10,5,0.5,0.11890244
10,5,0.5,0.38095238
10,5,0.5,0.12244898
10,5,0.5,0.65517241
10,4,0.6,0.10724638
10,5,0.5,0.18218623
8,4,0.5,0.0886918
10,5,0.5,0.15
10,4,0.6,0.056
9,5,0.4444444444444444,0.29032258
8,4,0.5,0.06206897
10,5,0.5,0.22115385
10,5,0.5,0.41509434
10,5,0.5,0.19411765
7,5,0.2857142857142857,0.421875
7,4,0.42857142857142855,0.04511278
7,5,0.2857142857142857,0.22727273
10,4,0.6,0.11463415
10,5,0.5,0.19277108
6,5,0.16666666666666666,0.32857143
10,5,0.5,0.17910448
7,4,0.42857142857142855,0.10367893
6,5,0.16666666666666666,0.27272727
10,5,0.5,0.32307692
6,4,0.3333333333333333,0.09803922
10,5,0.5,0.27586207
10,5,0.5,0.31914894
6,5,0.16666666666666666,0.42857143
7,4,0.42857142857142855,0.09863946
10,5,0.5,0.37142857
6,5,0.16666666666666666,0.16666667
8,5,0.375,0.28181818
10,5,0.5,0.12537313
10,5,0.5,0.19047619
10,5,0.5,0.29268293
10,5,0.5,0.52173913
7,4,0.42857142857142855,0.08571429
10,5,0.5,0.12307692
7,5,0.2857142857142857,0.22222222
10,4,0.6,0.10441767
6,5,0.16666666666666666,0.12941176
10,5,0.5,0.13442623
6,4,0.3333333333333333,0.09677419
10,5,0.5,0.19886364
10,5,0.5,0.17105263
9,4,0.5555555555555556,0.11794872
7,5,0.2857142857142857,0.30769231
10,4,0.6,0.07092199
10,5,0.5,0.42647059
8,5,0.375,0.36923077
10,4,0.6,0.07832423
9,5,0.4444444444444444,0.18181818
10,5,0.5,0.13939394
10,5,0.5,0.17241379
10,5,0.5,0.48387097
7,5,0.2857142857142857,0.1220339
10,5,0.5,0.19417476
7,5,0.2857142857142857,0.12734082
10,5,0.5,0.22727273
10,5,0.5,0.20338983
8,5,0.375,0.15789474
9,4,0.5555555555555556,0.07079646
10,4,0.6,0.09064327
10,4,0.6,0.10688836
8,5,0.375,0.2122905
9,5,0.4444444444444444,0.32352941
10,4,0.6,0.09090909
8,5,0.375,0.3442623
10,4,0.6,0.08796296
10,5,0.5,0.23140496
8,5,0.375,0.14492754
10,5,0.5,0.15151515
7,5,0.2857142857142857,0.19811321
10,5,0.5,0.24137931
9,4,0.5555555555555556,0.08438061
10,4,0.6,0.11538462
10,5,0.5,0.35135135
10,5,0.5,0.13953488
6,5,0.16666666666666666,0.35849057
10,5,0.5,0.1474359
10,5,0.5,0.18181818
9,5,0.4444444444444444,0.13888889
7,5,0.2857142857142857,0.34693878
6,4,0.3333333333333333,0.06786704
10,4,0.6,0.09836066
9,5,0.4444444444444444,0.35294118
6,5,0.16666666666666666,0.17391304
10,5,0.5,0.21333333
10,4,0.6,0.09589041
10,5,0.5,0.14746544
7,5,0.2857142857142857,0.3030303
6,4,0.3333333333333333,0.07641196
10,5,0.5,0.12269939
6,5,0.16666666666666666,0.13793103
9,5,0.4444444444444444,0.13870968
10,5,0.5,0.23529412
10,4,0.6,0.06949807
10,5,0.5,0.18681319
9,4,0.5555555555555556,0.09142857
10,5,0.5,0.25454545
10,5,0.5,0.23958333
6,5,0.16666666666666666,0.24137931
10,5,0.5,0.1375
7,5,0.2857142857142857,0.19246862
10,5,0.5,0.1627907
6,5,0.16666666666666666,0.21374046
10,5,0.5,0.33962264
7,5,0.2857142857142857,0.16129032
10,5,0.5,0.12075472
7,5,0.2857142857142857,0.15789474
6,5,0.16666666666666666,0.46666667
10,5,0.5,0.18918919
10,5,0.5,0.21794872
10,4,0.6,0.10932476
6,5,0.16666666666666666,0.26229508
8,5,0.375,0.35
10,5,0.5,0.12295082
7,5,0.2857142857142857,0.18292683
6,5,0.16666666666666666,0.23655914
10,5,0.5,0.2826087
6,4,0.3333333333333333,0.07244094
10,4,0.6,0.09660574
10,5,0.5,0.14556962
7,5,0.2857142857142857,0.19333333
10,5,0.5,0.15625
10,5,0.5,0.14545455
6,4,0.3333333333333333,0.10714286
8,5,0.375,0.66666667
10,5,0.5,0.2
7,5,0.2857142857142857,0.21698113
10,5,0.5,0.14102564
10,4,0.6,0.04496403
7,5,0.2857142857142857,0.19417476
10,5,0.5,0.12244898
8,5,0.375,0.2
7,5,0.2857142857142857,0.17621145
7,5,0.2857142857142857,0.24050633
7,4,0.42857142857142855,0.09876543
8,5,0.375,0.46875
10,4,0.6,0.05865922
10,5,0.5,0.21875
10,5,0.5,0.1563786
10,5,0.5,0.16666667
8,5,0.375,0.1884058
10,5,0.5,0.15111111
10,5,0.5,0.42424242
6,4,0.3333333333333333,0.09939759
10,5,0.5,0.35135135
10,5,0.5,0.25925926
10,4,0.6,0.06425703
10,5,0.5,0.31034483
10,4,0.6,0.09579439
10,4,0.6,0.08180301
10,4,0.6,0.09005629
6,4,0.3333333333333333,0.0787037
10,5,0.5,0.18072289
10,5,0.5,0.14606742
8,4,0.5,0.10447761
6,5,0.16666666666666666,0.14705882
10,4,0.6,0.11111111
6,4,0.3333333333333333,0.0747331
10,5,0.5,0.13617021
10,4,0.6,0.11235955
6,5,0.16666666666666666,0.19277108
10,5,0.5,0.22413793
6,4,0.3333333333333333,0.08333333
10,5,0.5,0.22033898
10,5,0.5,0.2173913
7,5,0.2857142857142857,0.17857143
10,4,0.6,0.1
